RollNumber,Name,CGPA
CSE210001,CSE 3-1 Student 1,8.1
CSE210002,CSE 3-1 Student 2,7.4
CSE210003,CSE 3-1 Student 3,8.9
CSE210004,CSE 3-1 Student 4,6.7
CSE210005,CSE 3-1 Student 5,9.0
CSE210006,CSE 3-1 Student 6,7.8
CSE210007,CSE 3-1 Student 7,8.3
CSE210008,CSE 3-1 Student 8,7.1
CSE210009,CSE 3-1 Student 9,6.9
CSE210010,CSE 3-1 Student 10,8.5
CSE210011,CSE 3-1 Student 11,7.6
CSE210012,CSE 3-1 Student 12,8.0
CSE210013,CSE 3-1 Student 13,7.2
CSE210014,CSE 3-1 Student 14,8.7
CSE210015,CSE 3-1 Student 15,6.8
CSE210016,CSE 3-1 Student 16,7.9
CSE210017,CSE 3-1 Student 17,8.2
CSE210018,CSE 3-1 Student 18,7.5
CSE210019,CSE 3-1 Student 19,6.6
CSE210020,CSE 3-1 Student 20,8.4
CSE210021,CSE 3-1 Student 21,7.3
CSE210022,CSE 3-1 Student 22,8.6
CSE210023,CSE 3-1 Student 23,7.0
CSE210024,CSE 3-1 Student 24,8.1
CSE210025,CSE 3-1 Student 25,7.7
CSE210026,CSE 3-1 Student 26,6.5
CSE210027,CSE 3-1 Student 27,8.8
CSE210028,CSE 3-1 Student 28,7.4
CSE210029,CSE 3-1 Student 29,8.0
CSE210030,CSE 3-1 Student 30,7.2
CSE210031,CSE 3-1 Student 31,8.3
CSE210032,CSE 3-1 Student 32,6.9
CSE210033,CSE 3-1 Student 33,7.8
CSE210034,CSE 3-1 Student 34,8.5
CSE210035,CSE 3-1 Student 35,7.1
CSE210036,CSE 3-1 Student 36,8.6
CSE210037,CSE 3-1 Student 37,7.6
CSE210038,CSE 3-1 Student 38,6.8
CSE210039,CSE 3-1 Student 39,8.2
CSE210040,CSE 3-1 Student 40,7.9
CSE210041,CSE 3-1 Student 41,7.0
CSE210042,CSE 3-1 Student 42,8.4
CSE210043,CSE 3-1 Student 43,7.5
CSE210044,CSE 3-1 Student 44,8.1
CSE210045,CSE 3-1 Student 45,6.7
CSE210046,CSE 3-1 Student 46,7.3
CSE210047,CSE 3-1 Student 47,8.7
CSE210048,CSE 3-1 Student 48,7.8
CSE210049,CSE 3-1 Student 49,8.0
CSE210050,CSE 3-1 Student 50,7.2
CSE210051,CSE 3-1 Student 51,8.5
CSE210052,CSE 3-1 Student 52,6.9
CSE210053,CSE 3-1 Student 53,7.6
CSE210054,CSE 3-1 Student 54,8.3
CSE210055,CSE 3-1 Student 55,7.4
CSE210056,CSE 3-1 Student 56,8.2
CSE210057,CSE 3-1 Student 57,7.1
CSE210058,CSE 3-1 Student 58,8.6
CSE210059,CSE 3-1 Student 59,7.7
CSE210060,CSE 3-1 Student 60,6.8
CSE210061,CSE 3-1 Student 61,8.0
CSE210062,CSE 3-1 Student 62,7.9
CSE210063,CSE 3-1 Student 63,8.4
CSE210064,CSE 3-1 Student 64,7.3
CSE210065,CSE 3-1 Student 65,8.1
CSE210066,CSE 3-1 Student 66,6.6
CSE210067,CSE 3-1 Student 67,7.5
CSE210068,CSE 3-1 Student 68,8.5
CSE210069,CSE 3-1 Student 69,7.2
CSE210070,CSE 3-1 Student 70,8.7
CSE210071,CSE 3-1 Student 71,7.0
CSE210072,CSE 3-1 Student 72,8.3
CSE210073,CSE 3-1 Student 73,7.8
CSE210074,CSE 3-1 Student 74,6.9
CSE210075,CSE 3-1 Student 75,8.2
CSE210076,CSE 3-1 Student 76,7.6
CSE210077,CSE 3-1 Student 77,8.1
CSE210078,CSE 3-1 Student 78,7.4
CSE210079,CSE 3-1 Student 79,8.6
CSE210080,CSE 3-1 Student 80,7.1
CSE210081,CSE 3-1 Student 81,7.9
CSE210082,CSE 3-1 Student 82,8.0
CSE210083,CSE 3-1 Student 83,7.3
CSE210084,CSE 3-1 Student 84,8.4
CSE210085,CSE 3-1 Student 85,6.7
CSE210086,CSE 3-1 Student 86,7.7
CSE210087,CSE 3-1 Student 87,8.5
CSE210088,CSE 3-1 Student 88,7.2
CSE210089,CSE 3-1 Student 89,8.2
CSE210090,CSE 3-1 Student 90,7.0
CSE210091,CSE 3-1 Student 91,8.8
CSE210092,CSE 3-1 Student 92,7.5
CSE210093,CSE 3-1 Student 93,8.1
CSE210094,CSE 3-1 Student 94,7.6
CSE210095,CSE 3-1 Student 95,6.8
CSE210096,CSE 3-1 Student 96,8.3
CSE210097,CSE 3-1 Student 97,7.4
CSE210098,CSE 3-1 Student 98,8.7
CSE210099,CSE 3-1 Student 99,7.9
CSE210100,CSE 3-1 Student 100,7.1
